code.pop;species;status;position;orientation;slope;annual_herbs;perennial_herbs;tot_herbs;small_shrbs;tall_shrbs;trees;bare_soil;mineral;nb_ind_med;nb_ind_class;area_class;area_med
li1;Linum suffruticosum;pure;slope;40;20;3;63;66;15,5;15,5;3;15,5;0,5;100_500;300;500_1000;750
li10;Linum suffruticosum;pure;valley;120;0;0,5;38;38,5;15,5;0,5;0;63;15,5;100_500;300;1000_5000;3000
li100;Linum suffruticosum;pure;slope;210;30;0,5;63;63,5;38;0,5;100;0,5;0,5;1000_5000;3000;5000_10000;7500
li101;Linum tenuifolium;pure;slope;200;30;0,5;63;63,5;15,5;3;100;3;15,5;100_500;300;1000_5000;3000
li102;Linum tenuifolium;pure;slope;200;15;0,5;88;88,5;3;3;15,5;0,5;0,5;50_100;75;100_500;300
li103;Linum suffruticosum;mixed;slope;200;30;0,5;63;63,5;15,5;15,5;3;0,5;0,5;100_500;300;500_1000;750
li104;Linum suffruticosum;pure;slope;160;28;0,5;88;88,5;38;0,5;3;0,5;0,5;100_500;300;100_500;300
li105;Linum tenuifolium;pure;slope;180;25;0,5;88;88,5;15,5;3;0,5;0,5;0,5;100_500;300;1000_5000;3000
li106;Linum suffruticosum;pure;valley;0;0;3;38;41;0,5;15,5;100;38;15,5;500_1000;750;500_1000;750
li107;Linum tenuifolium;pure;slope;110;5;0,5;88;88,5;0,5;0,5;15,5;15,5;3;10_50;30;10_100;55
li108;Linum suffruticosum;mixed;slope;0;na;NA;NA;38;15,5;15,5;38;15,5;15,5;100_500;300;NA;NA
li109;Linum tenuifolium;mixed;valley;180;na;NA;NA;63;3;3;15,5;3;38;500_1000;750;100_500;300
li11;Linum suffruticosum;pure;slope;300;7;0,5;38;38,5;15,5;38;15,5;15,5;38;1000_5000;3000;5000_10000;7500
li110;Linum suffruticosum;mixed;slope;na;na;NA;NA;38;38;38;15,5;15,5;15,5;500_1000;750;500_1000;750
li111;Linum tenuifolium;mixed;slope;225;na;NA;NA;38;38;15,5;3;15,5;15,5;100_500;300;100_500;300
li12;Linum suffruticosum;pure;valley;200;3;0,5;88;88,5;15,5;15,5;3;15,5;0,5;1000_5000;3000;>10000;1000
li13;Linum suffruticosum;pure;slope;330;25;0,5;63;63,5;3;15,5;0;3;15,5;1000_5000;3000;500_1000;750
li14;Linum suffruticosum;mixed;valley;30;3;0,5;38;38,5;15,5;15,5;15,5;15,5;15,5;100_500;300;1000_5000;3000
li15;Linum tenuifolium;mixed;slope;130;13;0,5;63;63,5;15,5;38;3;3;15,5;100_500;300;5000_10000;7500
li16;Linum suffruticosum;mixed;slope;270;5;0,5;88;88,5;15,5;0,5;0;3;0,5;>10000;10000;5000_10000;7500
li17;Linum tenuifolium;mixed;slope;350;15;0,5;88;88,5;15,5;38;15,5;3;15,5;100_500;300;1000_5000;3000
li18;Linum suffruticosum;mixed;mountain;90;2;0,5;63;63,5;3;3;0;15,5;38;5000_10000;750;1000_5000;3000
li19;Linum tenuifolium;mixed;slope;120;10;0,5;63;63,5;15,5;15,5;3;3;15,5;500_1000;750;>10000;1000
li2;Linum suffruticosum;pure;slope;110;15;0,5;38;38,5;63;3;0;0,5;15,5;100_500;300;1000_5000;3000
li20;Linum tenuifolium;pure;slope;210;7;0,5;38;38,5;15,5;63;0,5;0,5;38;1000_5000;3000;>10000;1000
li21;Linum suffruticosum;pure;mountain;190;5;0,5;15,5;16;15,5;0,5;0,5;15,5;63;>10000;10000;>10000;1000
li22;Linum suffruticosum;mixed;slope;235;20;0,5;63;63,5;15,5;38;0,5;15,5;15,5;5000_10000;750;1000_5000;3000
li23;Linum tenuifolium;mixed;slope;170;10;0,5;88;88,5;0,5;15,5;0,5;0;0;50_100;75;100_500;300
li24;Linum suffruticosum;pure;slope;200;30;0,5;63;63,5;0,5;15,5;3;3;38;1000_5000;3000;>10000;1000
li25;Linum suffruticosum;pure;mountain;10;1;0,5;88;88,5;15,5;0,5;0,5;3;3;100_500;300;1000_5000;3000
li26;Linum suffruticosum;mixed;slope;250;35;0,5;38;38,5;3;3;3;0,5;63;100_500;300;100_500;300
li27;Linum tenuifolium;mixed;slope;230;35;0,5;38;38,5;38;15,5;15,5;3;38;100_500;300;5000_10000;7500
li28;Linum suffruticosum;pure;valley;10;1;0,5;88;88,5;0,5;0;0;3;15,5;5000_10000;750;>10000;1000
li29;Linum suffruticosum;mixed;slope;190;10;0,5;88;88,5;3;15,5;3;0,5;3;1000_5000;3000;1000_5000;3000
li3;Linum suffruticosum;pure;slope;5;5;0,5;15,5;16;15,5;15,5;3;0,5;38;100_500;300;>10000;1000
li30;Linum tenuifolium;mixed;slope;145;15;0,5;88;88,5;3;38;15,5;3;3;10_50;30;1000_5000;3000
li31;Linum suffruticosum;pure;mountain;80;2;0,5;88;88,5;3;3;15,5;3;3;>10000;10000;>10000;1000
li32;Linum tenuifolium;pure;slope;130;45;0,5;63;63,5;15,5;38;15,5;15,5;38;100_500;300;500_1000;750
li33;Linum suffruticosum;mixed;slope;190;15;0,5;88;88,5;3;3;0,5;0,5;15,5;1000_5000;3000;>10000;1000
li34;Linum tenuifolium;mixed;slope;230;15;0,5;63;63,5;0,5;15,5;3;15,5;38;100_500;300;500_1000;750
li35;Linum tenuifolium;pure;slope;280;7;0;88;88;38;15,5;38;0,5;0;500_1000;750;>10000;1000
li36;Linum tenuifolium;pure;slope;180;5;0,5;63;63,5;15,5;15,5;15,5;15,5;3;500_1000;750;>10000;1000
li37;Linum tenuifolium;pure;valley;170;3;0,5;38;38,5;15,5;38;38;15,5;3;100_500;300;500_1000;750
li38;Linum tenuifolium;pure;valley;180;0;0,5;63;63,5;38;38;38;3;0,5;100_500;300;500_1000;750
li39;Linum suffruticosum;pure;slope;90;25;0,5;63;63,5;0,5;0;38;15,5;0,5;100_500;300;NA;NA
li4;Linum suffruticosum;pure;slope;190;35;0,5;38;38,5;38;3;3;15,5;38;100_500;300;>10000;1000
li40;Linum tenuifolium;pure;slope;240;7;0,5;88;88,5;15,5;15,5;38;3;0,5;100_500;300;1000_5000;3000
li41;Linum suffruticosum;pure;slope;90;40;0,5;38;38,5;3;3;15,5;15,5;38;5000_10000;750;>10000;1000
li42;Linum suffruticosum;mixed;slope;90;15;0,5;63;63,5;0,5;15,5;38;15,5;15,5;100_500;300;100_500;300
li43;Linum tenuifolium;mixed;slope;90;15;0,5;63;63,5;0,5;0,5;15,5;15,5;15,5;500_1000;750;1000_5000;3000
li44;Linum suffruticosum;pure;slope;40;35;0,5;63;63,5;15,5;15,5;15,5;3;15,5;1000_5000;3000;500_1000;750
li45;Linum tenuifolium;pure;slope;170;35;0;63;63;3;15,5;15,5;38;3;10_50;30;10_100;55
li46;Linum suffruticosum;pure;slope;260;35;0,5;38;38,5;3;15,5;38;15,5;38;100_500;300;500_1000;750
li47;Linum tenuifolium;pure;slope;190;25;0,5;88;88,5;38;15,5;15,5;15,5;0,5;100_500;300;500_1000;750
li48;Linum tenuifolium;pure;slope;180;25;0,5;63;63,5;15,5;15,5;38;15,5;3;500_1000;750;500_1000;750
li49;Linum suffruticosum;pure;slope;160;20;0,5;88;88,5;15,5;0,5;0,5;0,5;0,5;>10000;10000;>10000;1000
li5;Linum suffruticosum;pure;slope;10;25;0,5;63;63,5;3;0,5;15,5;15,5;0,5;500_1000;750;1000_5000;3000
li50;Linum suffruticosum;pure;slope;210;8;0,5;88;88,5;3;3;3;3;3;500_1000;750;500_1000;750
li51;Linum tenuifolium;pure;slope;250;20;0,5;88;88,5;3;15,5;15,5;3;3;500_1000;750;1000_5000;3000
li52;Linum tenuifolium;pure;slope;260;30;0,5;63;63,5;3;0;0;38;3;1000_5000;3000;1000_5000;3000
li53;Linum suffruticosum;pure;slope;180;15;0,5;38;38,5;38;15,5;3;15,5;0,5;500_1000;750;1000_5000;3000
li54;Linum tenuifolium;pure;slope;180;55;0;0;15,5;15,5;38;3;3;38;100_500;300;10_100;55
li55;Linum tenuifolium;pure;slope;270;0;0;0;38;15,5;3;3;3;15,5;10_50;30;10_100;55
li56;Linum tenuifolium;pure;valley;180;0;0;0;0,5;0,5;0,5;38;38;15,5;50_100;75;10_100;55
li57;Linum suffruticosum;pure;slope;270;455;0;0;15,5;15,5;3;38;15,5;15,5;50_100;75;10_100;55
li58;Linum suffruticosum;pure;slope;270;60;0;0;38;15,5;15,5;15,5;3;15,5;10_50;30;10_100;55
li59;Linum suffruticosum;pure;montain;270;455;0;0;15,5;38;15,5;3;3;38;500_1000;750;100_500;300
li6;Linum suffruticosum;pure;slope;350;20;0,5;38;38,5;15,5;3;3;15,5;3;100_500;300;1000_5000;3000
li60;Linum suffruticosum;pure;montain;270;44;0;0;15,5;15,5;3;38;15,5;38;50_100;75;100_500;300
li61;Linum tenuifolium;pure;montain;180;55;0;0;38;15,5;0,5;0,5;15,5;15,5;10_50;30;10_100;55
li62;Linum tenuifolium;pure;valley;270;0;0;0;38;15,5;15,5;15,5;15,5;3;50_100;75;100_500;300
li63;Linum tenuifolium;pure;valley;270;0;0;0;38;15,5;0,5;0,5;15,5;15,5;10_50;30;10_100;55
li64;Linum suffruticosum;pure;montain;270;65;0;0;38;38;15,5;38;3;15,5;100_500;300;100_500;300
li65;Linum tenuifolium;pure;valley;0;0;0;0;15,5;15,5;15,5;3;15,5;3;50_100;75;10_100;55
li66;Linum suffruticosum;pure;slope;270;50;0;0;15,5;15,5;3;3;15,5;3;10_50;30;10_100;55
li67;Linum suffruticosum;pure;slope;270;0;0;0;38;15,5;3;3;15,5;15,5;50_100;75;10_100;55
li68;Linum suffruticosum;pure;slope;270;55;0;0;15,5;15,5;3;38;38;15,5;50_100;75;10_100;55
li69;Linum suffruticosum;pure;slope;90;50;0;0;15,5;38;3;38;38;15,5;100_500;300;100_500;300
li7;Linum tenuifolium;pure;valley;320;5;3;63;66;15,5;0,5;38;15,5;3;500_1000;750;1000_5000;3000
li70;Linum suffruticosum;pure;slope;180;60;0;0;38;15,5;15,5;15,5;15,5;15,5;50_100;75;10_100;55
li71;Linum suffruticosum;pure;slope;270;50;0;0;15,5;38;38;15,5;3;3;100_500;300;100_500;300
li72;Linum suffruticosum;pure;slope;270;40;0;0;15,5;15,5;3;38;15,5;38;50_100;75;10_100;55
li73;Linum suffruticosum;pure;valley;180;0;0;0;3;38;38;38;15,5;3;100_500;300;100_500;300
li74;Linum suffruticosum;pure;valley;90;0;0;0;15,5;38;38;15,5;15,5;3;50_100;75;10_100;55
li75;Linum suffruticosum;pure;slope;90;55;0;0;38;38;15,5;38;15,5;15,5;100_500;300;100_500;300
li76;Linum tenuifolium;pure;valley;180;0;0;0;15,5;15,5;3;3;38;38;100_500;300;10_100;55
li77;Linum suffruticosum;pure;montain;180;455;0;0;38;15,5;38;38;15,5;15,5;100_500;300;100_500;300
li78;Linum suffruticosum;pure;slope;180;55;0;0;15,5;15,5;3;38;38;15,5;100_500;300;100_500;300
li79;Linum tenuifolium;pure;slope;0;45;0;0;38;15,5;3;38;38;15,5;10_50;30;10_100;55
li8;Linum suffruticosum;mixed;valley;350;2;3;88;91;3;0,5;3;15,5;0,5;1000_5000;3000;1000_5000;3000
li80;Linum suffruticosum;pure;slope;180;60;0;0;15,5;15,5;3;38;15,5;15,5;100_500;300;100_500;300
li81;Linum tenuifolium;pure;slope;0;50;0;0;38;15,5;3;15,5;15,5;15,5;100_500;300;100_500;300
li82;Linum suffruticosum;pure;slope;0;50;0;0;15,5;38;38;15,5;15,5;38;500_1001;750;500_1000;750
li83;Linum tenuifolium;pure;slope;60;40;0,5;63;63,5;3;15,5;3;15,5;15,5;100_500;300;>10000;10000
li84;Linum tenuifolium;pure;slope;350;20;0,5;63;63,5;38;15,5;3;15,5;3;50_100;75;500_1000;750
li85;Linum suffruticosum;mixed;mountain;1;5;0,5;38;38,5;38;15,5;3;15,5;15,5;100_500;300;1000_5000;3000
li86;Linum tenuifolium;mixed;slope;210;5;0,5;38;38,5;15,5;38;0,5;38;3;500_1000;750;1000_5000;3000
li87;Linum suffruticosum;pure;slope;80;12;0,5;63;63,5;38;15,5;3;3;15,5;500_1000;750;1000_5000;3000
li88;Linum suffruticosum;pure;slope;80;30;0,5;88;88,5;15,5;3;0,5;3;3;500_1000;750;1000_5000;3000
li89;Linum tenuifolium;pure;slope;180;20;0,5;38;38,5;38;3;3;15,5;15,5;100_500;300;5000_10000;7500
li9;Linum tenuifolium;mixed;mountain;240;0;0,5;63;63,5;38;3;38;15,5;0,5;1000_5000;3000;>10000;1000
li90;Linum suffruticosum;pure;slope;200;25;0,5;38;38,5;38;15,5;3;3;15,5;100_500;300;1000_5000;3000
li91;Linum suffruticosum;pure;mountain;0;0;0,5;88;88,5;3;15,5;0,5;3;3;100_500;300;1000_5000;3000
li92;Linum suffruticosum;pure;slope;120;30;0,5;63;63,5;38;15,5;15,5;3;3;100_500;300;1000_5000;3000
li93;Linum tenuifolium;pure;slope;150;20;0,5;88;88,5;3;3;0,5;3;0,5;50_100;75;500_1000;750
li94;Linum suffruticosum;pure;slope;310;15;0,5;88;88,5;3;3;3;0,5;0,5;5000_10000;7500;>10000;10000
li95;Linum tenuifolium;pure;valley;350;2;0,5;88;88,5;3;15,5;0,5;15,5;3;500_1000;750;5000_10000;7500
li96;Linum suffruticosum;mixed;slope;240;15;0,5;38;38,5;15,5;15,5;15,5;15,5;15,5;1000_5000;3000;5000_10000;7500
li97;Linum tenuifolium;pure;slope;180;40;0,5;63;63,5;3;100;15,5;15,5;15,5;50_100;75;100_500;300
li98;Linum suffruticosum;pure;slope;130;5;0,5;88;88,5;0,5;15,5;3;3;3;500_1000;750;>10000;10000
li99;Linum tenuifolium;pure;mountain;0;0;3;38;41;3;0,5;100;15,5;38;100_500;300;100_500;300